,Country,Year,Log Fertility
58,3160,1969,-3.606685258620374
59,3160,1970,-3.594426724169537
60,3160,1971,-3.1231734481015
61,3160,1972,-3.5632956052565716
62,3160,1973,-3.827233685727655
63,3160,1974,-3.4378448687815344
64,3160,1975,-3.680447232678299
65,3160,1976,-3.723768555320234
66,3160,1977,-3.751429006037576
67,3160,1978,-3.4110439732780033
68,3160,1979,-3.5935684132290326
69,3160,1980,-3.635762765287488
70,3160,1981,-3.6549930360738565
71,3160,1982,-3.8931522455686087
72,3160,1983,-3.655344084448972
73,3160,1984,-3.645336454163771
74,3160,1985,-3.672913394593592
75,3160,1986,-3.706411237226071
76,3160,1987,-3.696977055016525
77,3160,1988,-3.723245231687152
78,3160,1989,-3.750678761193426
79,3160,1990,-3.701202322457279
80,3160,1991,-3.677541718042547
81,3160,1992,-3.6781737400779093
82,3160,1993,-3.7009379391428467
83,3160,1994,-4.0912247211299935
84,3160,1995,-4.033132289532844
85,3160,1996,-4.0932286658093275
86,3160,1997,-4.056998775488259
87,3160,1998,-4.067625547200469
88,3160,1999,-4.087952476998411
89,3160,2000,-4.028501305389039
90,3160,2001,-4.110538453263337
91,3160,2002,-4.0653570072094105
92,3160,2003,-4.098696494771673
93,3160,2004,-4.050815304883734
94,3160,2005,-4.087435489567214
95,3160,2006,-4.073120780551149
96,3160,2007,-4.0729714000502915
97,3160,2008,-4.067267997819613
98,3160,2009,-3.751099211733814
99,3160,2010,-4.004484839617027
100,3160,2011,-4.0088441534011015
101,3160,2012,-4.010514218653434
102,3160,2013,-4.012386023535772
103,3160,2014,-3.9282799060312654
104,3160,2015,-3.9908294627283287
105,3400,2009,-3.7513311528112565
106,3400,2010,-3.758267133906172
107,3400,2011,-3.840753155398281
108,3400,2012,-3.853643370453232
109,3400,2013,-3.6924722244374095
110,3400,2014,-3.7415193455064277
111,3400,2015,-3.717759411996676
112,4010,1955,-3.6364662872264604
113,4010,1956,-3.569059231114138
114,4010,1957,-3.5640769562540195
115,4010,1958,-3.5204647238407953
116,4010,1959,-3.479183198161013
117,4010,1960,-3.5540484452001864
118,4010,1961,-3.37569895864591
119,4010,1962,-3.436214820177093
120,4010,1963,-3.4571261132374365
121,4010,1964,-3.4331781407106194
122,4010,1965,-3.482041237184797
123,4010,1966,-3.4655954539777296
124,4010,1967,-3.491563026434445
125,4010,1968,-3.4400229351300333
126,4010,1969,-3.4661569983924765
127,4010,1970,-3.2600240056188747
128,4010,1971,-3.500261042979028
129,4010,1972,-3.5509512343851446
130,4010,1973,-3.331556779922838
131,4010,1974,-3.6282029847280945
132,4010,1975,-3.603767511525667
133,4010,1976,-3.572062914617532
134,4010,1977,-3.623393694106637
135,4010,1978,-3.6259104075246666
136,4010,1979,-3.233194933546418
137,4010,1980,-3.0452270069357055
138,4010,1981,-3.2458051383921824
139,4010,1982,-3.291134270098456
140,4010,1983,-3.301306636753882
141,4010,1984,-3.2752789716975963
142,4010,1985,-3.2989345935110275
143,4010,1986,-3.3240843737707886
144,4010,1987,-3.3168743823174403
145,4010,1988,-3.2342487796203385
146,4010,1989,-3.168467618112666
147,4010,1990,-3.113942603415445
148,4010,1991,-3.098866124904786
149,4010,1992,-3.175285085962661
150,4010,1993,-3.31546179527761
151,4010,1994,-3.379169930866972
152,4010,1995,-3.390096803862244
153,4010,1996,-3.413384143396906
154,4010,1997,-3.4293665195400584
155,4010,1998,-3.405225774117647
156,4010,1999,-3.412111263283379
157,4010,2000,-3.3950199599311426
158,4010,2001,-3.7345055083176613
159,4010,2002,-3.7475369743608207
160,4010,2003,-3.70465251568669
161,4010,2004,-3.6792364506156563
162,4010,2005,-3.7613336155330868
163,4010,2006,-3.8468717479018806
164,4010,2007,-3.85000813299883
165,4010,2008,-3.863509619739268
166,4010,2009,-3.870032956327384
167,4010,2010,-3.83603747475881
168,4010,2011,-3.7532006386820895
169,4010,2012,-3.6921449254801026
170,4010,2013,-3.6370439126142333
171,4010,2014,-3.5246076003570446
172,4010,2015,-3.458521608142252
173,4020,1954,-3.461793302958418
174,4020,1955,-3.4441570260762764
175,4020,1956,-3.4215615579173817
176,4020,1957,-3.445404888309713
177,4020,1958,-3.512633440876503
178,4020,1959,-3.576821074832546
179,4020,1960,-3.5073880475443833
180,4020,1961,-3.4520859394200807
181,4020,1962,-3.389198022682678
182,4020,1963,-3.376221574413496
183,4020,1964,-3.361272307847109
184,4020,1965,-3.433449880622224
185,4020,1966,-3.477046511356761
186,4020,1967,-3.495744505870486
187,4020,1968,-3.4764859777573913
188,4020,1969,-3.4863664945559054
189,4020,1970,-3.4421341663807508
190,4020,1971,-3.45764893708617
191,4020,1972,-3.477085711090066
192,4020,1973,-3.5513148582044205
193,4020,1974,-3.4315374065113793
194,4020,1975,-3.5323169886548094
195,4020,1976,-3.6076689668418327
196,4020,1977,-3.6069192650699167
197,4020,1978,-3.3076750992983217
198,4020,1979,-3.3963494300102686
199,4020,1980,-3.4447920875361824
200,4020,1981,-3.4051672355596585
201,4020,1982,-3.4116194539302276
202,4020,1983,-3.3585851463921133
203,4020,1984,-3.3797453789202883
204,4020,1985,-3.317053943759014
205,4020,1986,-3.4375134403044942
206,4020,1987,-3.3654017160558873
207,4020,1988,-3.3317412627134178
208,4020,1989,-3.3812757849252963
209,4020,1990,-3.3622068684451913
210,4020,1991,-3.2987883912445444
211,4020,1992,-3.2881615229849457
212,4020,1993,-3.33598164190301
213,4020,1994,-3.3578364799529665
214,4020,1995,-3.4568668183700515
215,4020,1996,-3.3961638143992836
216,4020,1997,-3.73979552638176
217,4020,1998,-3.7809757532741797
218,4020,1999,-3.7753551876388087
219,4020,2000,-3.7490973789817708
220,4020,2001,-3.6903319154541747
221,4020,2002,-3.6988161198192047
222,4020,2003,-3.735788269384355
223,4020,2004,-3.6781131283865034
224,4020,2005,-3.6603529212777692
225,4020,2006,-3.6270782855216597
226,4020,2007,-3.594989748412378
227,4020,2008,-3.594834001890781
228,4020,2009,-3.7507611069256797
229,4020,2010,-3.3793341572830937
230,4020,2011,-3.561539375649121
231,4020,2012,-3.602968592186796
232,4020,2013,-3.767399494865467
233,4020,2014,-3.7668329818360244
234,4020,2015,-3.6170552962027167
235,4030,1964,-3.7501492135695664
236,4030,1965,-3.716265964383064
237,4030,1966,-3.681839712325132
238,4030,1967,-3.623999543397162
239,4030,1968,-3.5388473568050505
240,4030,1969,-3.6159551210356513
241,4030,1970,-3.61034561130607
242,4030,1971,-3.6362920721577794
243,4030,1972,-3.6476525137275067
244,4030,1973,-3.5648209283394707
245,4030,1974,-3.5920128586491846
246,4030,1975,-3.6380919171720016
247,4030,1976,-3.5558865344832724
248,4030,1977,-3.7335555149635913
249,4030,1978,-3.7070790103102307
250,4030,1979,-3.2824668275082916
251,4030,1980,-3.3310428537256684
252,4030,1981,-3.2837300673172205
253,4030,1982,-3.307331780197365
254,4030,1983,-3.2977828733298193
255,4030,1984,-3.3133903455324054
256,4030,1985,-3.3440973844379926
257,4030,1986,-3.265838765527596
258,4030,1987,-3.273466295963797
259,4030,1988,-3.2854487623627917
260,4030,1989,-3.3561088468522207
261,4030,1990,-3.376985592841773
262,4030,1991,
263,4030,1992,-3.5523596271633107
264,4030,1993,-3.3750626559322914
265,4030,1994,-3.3736203258631594
266,4030,1995,-3.375058840158628
267,4030,1996,-3.3557644240031337
268,4030,1997,-3.4061204522004815
269,4030,1998,-3.431584923202028
270,4030,1999,-3.3811060731393177
271,4030,2000,-5.039633983507686
272,4030,2001,-3.393631394652922
273,4030,2002,-3.4055249978768316
274,4030,2003,-3.4098905841599487
275,4030,2004,-3.7364760361015246
276,4030,2005,-3.728418878498056
277,4030,2006,-3.7190667935543757
278,4030,2007,-3.725128099668182
279,4030,2008,-3.7579128970245654
280,4030,2009,-3.8011630347088174
281,4030,2010,-4.339470426908372
282,4030,2011,-4.225536321337453
283,4030,2012,-3.7729660676693855
284,4030,2013,-3.716236065413281
285,4030,2014,-3.724449208821755
286,4030,2015,-3.772883890917238
287,4045,1986,-3.2641497596474953
288,4045,1987,-3.2697913181907197
289,4045,1988,-3.257936070421255
290,4045,1989,-3.262547527980788
291,4045,1990,-3.455369470694601
292,4045,1991,-3.3025557700392465
293,4045,1992,-3.312175002061736
294,4045,1993,-3.7612119252244156
295,4045,1994,-3.8034778060031886
296,4045,1995,-3.8949968251381275
297,4045,1996,-3.876876195969191
298,4045,1997,-3.890981525788899
299,4045,1998,-3.9051501261403843
300,4045,1999,-3.902030486327986
301,4045,2000,-3.7970228538441586
302,4045,2001,-4.372857796908307
303,4045,2002,-3.821017777634717
304,4045,2003,-3.8383787492064956
305,4045,2004,-3.7375748831515088
306,4045,2005,-3.746875351347787
307,4045,2006,-3.655737867992833
308,4045,2007,-3.4835164559883554
309,4045,2008,-3.629687765836111
310,4045,2009,-3.7800045292715825
311,4045,2010,-3.9974548245657573
312,4045,2011,-3.825126465078441
313,4045,2012,-3.8675103379143416
314,4045,2013,-3.8423008906601908
315,4045,2014,-3.7787471614103434
316,4045,2015,-3.791605322612397
317,4084,1981,-3.2704941030611705
318,4084,1982,None
319,4084,1983,None
320,4084,1984,None
321,4084,1985,-3.219499615104445
322,4084,1986,-3.233686682750791
323,4084,1987,-3.2216952587681074
324,4084,1988,-3.296184684654821
325,4084,1989,-3.298128057036519
326,4084,1990,-3.3491961000020356
327,4084,1991,-3.8496971825929553
328,4084,1992,None
329,4084,1993,
330,4084,1994,-6.214926944818072
331,4084,1995,-6.5344172102521405
332,4084,1996,-4.508717513861849
333,4084,1997,-4.877650209354637
334,4084,1998,-4.582421778576253
335,4084,1999,-4.522341228328925
336,4084,2000,-4.547028971086235
337,4084,2001,None
338,4084,2002,None
339,4084,2003,-3.9067469209827954
340,4084,2004,-3.5463872070222755
341,4084,2005,-3.5838491621856856
342,4084,2006,-4.101793794237112
343,4084,2007,None
344,4084,2008,-3.5948402685796674
345,4084,2009,-3.3546996251831964
346,4084,2010,-3.6702058845433405
347,4084,2011,-3.7447356085888
348,4084,2012,-3.8706693865961324
349,4084,2013,
350,4084,2014,-3.653629380031186
351,4084,2015,-3.580709673761275
352,4140,1956,-3.751817795217477
353,4140,1957,-3.7353206586900676
354,4140,1958,-3.677315734632607
355,4140,1959,-3.769686148185942
356,4140,1960,-3.7364670848977712
357,4140,1961,-3.824035681871485
358,4140,1962,-3.936223628226479
359,4140,1963,-3.9053820552882406
360,4140,1964,-3.8820207551243473
361,4140,1965,-3.7182530168557153
362,4140,1966,-3.5176051966086224
363,4140,1967,-3.5307687811831237
364,4140,1968,-3.795548490244323
365,4140,1969,-4.234181325162355
366,4140,1970,-4.098712197652409
367,4140,1971,-3.385993152998519
368,4140,1972,-3.7053773305375883
369,4140,1973,-3.7615926174807655
370,4140,1974,-3.5142268928018656
371,4140,1975,-3.383591709782435
372,4140,1976,-3.45224497890579
373,4140,1977,-3.514552220410364
374,4140,1978,-3.2924464660648938
375,4140,1979,-3.0073945236477617
376,4140,1980,-3.2944563311779387
377,4140,1981,-3.381550752211345
378,4140,1982,-3.3578256194700304
379,4140,1983,-3.409602926440544
380,4140,1984,-3.405341042391753
381,4140,1985,-3.437605067480823
382,4140,1986,-3.37573543436151
383,4140,1987,-3.4142280064645694
384,4140,1988,-3.369900894028154
385,4140,1989,-3.3114638594637777
386,4140,1990,-3.2420219123763863
387,4140,1991,-3.188815013588675
388,4140,1992,-3.248230449775791
389,4140,1993,-3.2714631534271392
390,4140,1994,-3.275435170277112
391,4140,1995,-3.2948683093359348
392,4140,1996,-3.3290657743000085
393,4140,1997,-3.3383607391414656
394,4140,1998,-3.3672197824079713
395,4140,1999,-3.390903484942645
396,4140,2000,-3.4231398642004307
397,4140,2001,-3.4005330333278536
398,4140,2002,-3.394454242822355
399,4140,2003,-3.3971074334371725
400,4140,2004,-3.3892264533015277
401,4140,2005,-3.3874964622914083
402,4140,2006,-3.352629321342776
403,4140,2007,-3.3713961230287537
404,4140,2008,-3.3700354352884268
405,4140,2009,-3.4220348132196134
406,4140,2010,-3.4992875300497284
407,4140,2011,-4.26114345073125
408,4140,2012,-3.898958991616874
409,4140,2013,-4.2615927583776685
410,4140,2014,-4.150855527748775
411,4140,2015,-4.026918397127313
412,4170,1950,-3.660469093831347
413,4170,1951,-3.8562222197221727
414,4170,1952,-3.813393524546284
415,4170,1953,-3.8449761881397166
416,4170,1954,-3.960153747485762
417,4170,1955,-4.1184464557917
418,4170,1956,-3.911074590503154
419,4170,1957,-4.301285597365722
420,4170,1958,-3.795167299168708
421,4170,1959,-3.964870934419602
422,4170,1960,-3.879250268590376
423,4170,1961,-3.5352570944386623
424,4170,1962,-3.444197099057398
425,4170,1963,-3.5466978632660324
426,4170,1964,-3.565599450225791
427,4170,1965,-3.5661081081128767
428,4170,1966,-3.5796705969357117
429,4170,1967,-3.5099676460446005
430,4170,1968,-3.5061799488882635
431,4170,1969,-3.3801709364654573
432,4170,1970,-3.3232028968415888
433,4170,1971,-3.275381690811327
434,4170,1972,-3.272020342001897
435,4170,1973,-3.262102584954767
436,4170,1974,-3.3152944031503657
437,4170,1975,-2.876536211549918
438,4170,1976,-3.297833467050734
439,4170,1977,-3.328655693801889
440,4170,1978,-3.0360891780960935
441,4170,1979,-3.203284857556407
442,4170,1980,-3.157003214450104
443,4170,1981,-3.198551733270261
444,4170,1982,-3.307485848051223
445,4170,1983,-3.3687478528748867
446,4170,1984,-3.4309673991805894
447,4170,1985,-3.515049593815935
448,4170,1986,-3.570676627273968
449,4170,1987,-3.639639127912168
450,4170,1988,-3.830294542849916
451,4170,1989,-3.7246387094095046
452,4170,1990,-3.3723486861037006
453,4170,1991,-3.34959511836124
454,4170,1992,-3.400606539695189
455,4170,1993,-3.4761344344242295
456,4170,1994,-3.4335740044963305
457,4170,1995,-3.3727280459204643
458,4170,1996,-3.279815486928137
459,4170,1997,-3.286305739023909
460,4170,1998,-3.275714111503294
461,4170,1999,-3.2468164630526712
462,4170,2000,-3.218146713839567
463,4170,2001,-3.1653397120429587
464,4170,2002,-3.2481019833195184
465,4170,2003,-3.2495802083955443
466,4170,2004,-3.1405679457303917
467,4170,2005,-3.0383850016226743
468,4170,2006,-3.3060829835877747
469,4170,2007,-3.436631150965658
470,4170,2008,-3.840235282927607
471,4170,2009,None
472,4170,2010,None
473,4170,2011,-4.195811951140988
474,4170,2012,-4.2300424637438825
475,4170,2013,None
476,4170,2014,None
477,4180,1951,-3.2869209632073475
478,4180,1952,-3.6524883135348643
479,4180,1953,-3.666628146709021
480,4180,1954,-3.648771073493644
481,4180,1955,-3.608001445387498
482,4180,1956,-3.652861359338084
483,4180,1957,-3.6727167461836943
484,4180,1958,-3.6328166017556316
485,4180,1959,-3.5916521007351174
486,4180,1960,-3.647299017782387
487,4180,1961,-3.5963376292102134
488,4180,1962,-3.5664998929173026
489,4180,1963,-3.574025236127388
490,4180,1964,-3.5520674149248586
491,4180,1965,-3.618030947180273
492,4180,1966,-3.6104482494320984
493,4180,1967,-3.521758186154265
494,4180,1968,-3.511447154845177
495,4180,1969,-3.5365935467347045
496,4180,1970,-3.5403000320155407
497,4180,1971,-3.50520090942703
498,4180,1972,-3.59237338214468
499,4180,1973,-3.3092820014691187
500,4180,1974,-3.4894367005833002
501,4180,1975,-3.550538831854124
502,4180,1976,-3.5935181307161934
503,4180,1977,-3.634931874385662
504,4180,1978,-3.3979869551409223
505,4180,1979,-3.3936976992271517
506,4180,1980,-3.426981260172821
507,4180,1981,-3.919020871998027
508,4180,1982,-3.3537729215769314
509,4180,1983,-3.419404454477092
510,4180,1984,-3.4179846683980104
511,4180,1985,-3.4436920640382
512,4180,1986,-3.4709767003355534
513,4180,1987,-3.4564505921382565
514,4180,1988,-3.481275597930168
515,4180,1989,-3.4443852867876927
516,4180,1990,-3.762092012466345
517,4180,1991,-3.824108206135199
518,4180,1992,-3.453958665242712
519,4180,1993,-3.4634149956640754
520,4180,1994,-3.4763183505052884
521,4180,1995,-3.482236382630228
522,4180,1996,-3.45213199710263
523,4180,1997,-3.430844758889013
524,4180,1998,-3.4567528654594835
525,4180,1999,-3.4648139623959304
526,4180,2000,-3.4578313158823035
527,4180,2001,-3.3683132152604567
528,4180,2002,-3.5602731640043808
529,4180,2003,-3.895940926347381
530,4180,2004,-3.703773600092539
531,4180,2005,-3.3231149347470836
532,4180,2006,-3.619404147100719
533,4180,2007,-3.6015569242450987
534,4180,2008,-3.6614542009114555
535,4180,2009,-3.7191707795173907
536,4180,2010,-6.574769886021603
537,4180,2011,-3.7565868344288345
538,4180,2012,-3.4481539238679066
539,4180,2013,-3.53717451424827
540,4180,2014,-3.8975246914363892
541,4180,2015,-3.981506039610811
542,4182,1981,-3.2114075623367984
543,4182,1982,None
544,4182,1983,None
545,4182,1984,None
546,4182,1985,-3.2484855146360605
547,4182,1986,-3.210053341000088
548,4182,1987,-3.2078110007201603
549,4182,1988,-3.254220379758947
550,4182,1989,-3.317638947474494
551,4182,1990,-3.4517442484913476
552,4182,1991,-3.3990932439386166
553,4182,1992,-3.3520747081341513
554,4182,1993,-4.277231528477897
555,4182,1994,-4.964881045949254
556,4182,1995,
557,4182,1996,-4.020704727727347
558,4182,1997,
559,4182,1998,-4.000835730051749
560,4182,1999,-3.7095034866758154
561,4182,2000,-3.586776706215317
562,4182,2001,-3.5737430538385797
563,4182,2002,-3.3962456223400714
564,4182,2003,-3.2958384086959898
565,4182,2004,-3.226196910927763
566,4182,2005,-3.190944148823338
567,4182,2006,-3.1743229046103476
568,4182,2007,-3.1967964799408897
569,4182,2008,-3.166602358208131
570,4182,2009,-2.973504395444023
571,4182,2010,-3.2620781021381493
572,4182,2011,-3.2605668386619002
573,4182,2012,-3.48180023429581
574,4182,2013,-3.493792421937647
575,4182,2014,-3.5096461047834175
576,4182,2015,-3.4759343748305582
577,4186,1980,-2.996457145040532
578,4186,1981,-2.9932744906629156
579,4186,1982,-2.9420381654305485
580,4186,1983,-2.911252803167445
581,4186,1984,-2.8910698938080017
582,4186,1985,-2.94543097904295
583,4186,1986,-2.8889388836470635
584,4186,1987,-2.8872805230242347
585,4186,1988,-2.96913165769999
586,4186,1989,-3.0282167747027504
587,4186,1990,-3.1007059492526654
588,4186,1991,-3.283404330030291
589,4186,1992,-3.289726978468467
590,4186,1993,-3.1208887137720174
591,4186,1994,-3.1457075165522888
592,4186,1995,-4.054332212862236
593,4186,1996,-4.003354280571504
594,4186,1997,-3.9341774300940817
595,4186,1998,-3.9221187123031838
596,4186,1999,-9.628968466610628
597,4186,2000,-4.197209128106164
598,4186,2001,-4.119136231135272
599,4186,2002,-3.9919097484901838
600,4186,2003,-4.065487718277257
601,4186,2004,-4.005310154309837
602,4186,2005,-3.889672792293017
603,4186,2006,-3.831655820547413
604,4186,2007,-4.031287032226235
605,4186,2008,-4.498630934800603
