,Country,Year,Log Mortality6,Log Mortality7,Log Mortality8,Log Mortality9,Log Mortality10,Log Mortality11,Log Mortality12,Log Mortality13,Log Mortality14,Log Mortality15,Log Mortality16,Log Mortality17,Log Mortality18,Log Mortality19,Log Mortality20,Log Mortality21,Log Mortality22,Log Mortality23,Log Mortality24,Log Mortality25,Log Mortality26
30,2140,1986,-6.653016470774256,-6.907139704939922,-6.892498641028845,-6.630435993565903,-6.277503619542235,-6.0256312785840995,-5.805256865629492,-5.513534852589826,-5.1085395090776275,-4.888711465773841,-4.346565324444506,-3.8289616806712505,-3.4169457386302944,-2.990866083902818,-2.395633025248689,-1.8792623674858748,-1.135788340320359,-0.4184960720998036,-3.6159776798490872,-3.6052206684204573,inf
31,2140,1987,-6.653016470774256,-7.095087900057173,-6.9208183729568615,-6.62286765233666,-6.1592838949825,-6.017704548788542,-5.798850200828595,-5.523363868008333,-5.161496497273116,-4.784723301227439,-4.420520339434545,-3.896839829006756,-3.4748458136182974,-2.9777552971528367,-2.4123851275972372,-1.8820357084740595,-1.0705938623458124,-0.47775775283888683,-3.6159776798490872,-3.6052206684204573,inf
32,2140,1988,-6.653016470774256,-7.242225512932677,-7.300994892016035,-6.659357860346724,-6.268821002032383,-6.047582965279706,-5.7521946384431315,-5.452879653707717,-5.204103077264349,-4.768370701335267,-4.38157322274138,-4.024323802413968,-3.436160504562795,-2.9715375449669343,-2.436024025722982,-1.8210278613813848,-1.0229592921919968,-0.34857972004210774,-3.6159776798490872,-3.6052206684204573,inf
33,2140,1989,-6.647046303787752,-7.180731204044222,-7.188239376911592,-6.609491097199819,-6.298212317090207,-6.108525821635956,-5.806285845513248,-5.487878178386109,-5.189558376931099,-4.837446220865574,-4.28355938831679,-3.9320948997426663,-3.4395422879700486,-3.037857199854662,-2.5422936611829505,-1.915844932218206,-1.019737371349697,-0.36807757603654406,-3.6100075128625835,-3.599250501433953,inf
34,2140,1990,-6.779106025800819,-7.266762132255848,-7.09912667129601,-6.495272598215326,-6.230085621491105,-6.090172719704705,-5.834144292519444,-5.4547275415574905,-5.302352341760216,-4.819580057333546,-4.379476697040609,-4.014643793344852,-3.5251919768648747,-3.073477622178844,-2.607074283762208,-1.9631410859836753,-1.2036583883510144,-0.6690496289808848,-3.6100075128625835,-3.599250501433953,inf
35,2140,1991,-6.678462500021131,-7.416809423099746,-7.326465613840322,-6.646972876167992,-6.315412797544157,-6.089138629841652,-5.8744723379064165,-5.542725008615688,-5.127741807053378,-4.754056966695809,-4.375860119758218,-4.0227526615010305,-3.4643251336967085,-3.0845634872606067,-2.5955442225466703,-1.993630885266725,-1.093906397630697,-0.5789685164512377,-3.6100075128625835,-3.599250501433953,inf
36,2140,1992,-7.002249577115029,-7.190078189156297,-7.092936431662396,-6.463792600445273,-6.173161949091286,-6.034919176354268,-5.693896462582058,-5.483372066742649,-5.143647341084592,-4.88810916654386,-4.37983997243692,-3.9800930193471884,-3.57931725160241,-3.1306801341644728,-2.567193687689573,-2.0183572554103524,-1.2781991266780326,-0.437893154274959,-3.6100075128625835,-3.599250501433953,inf
37,2140,1993,-7.0321025402647095,-7.253943777160761,-7.387048207960499,-6.5987706258264875,-6.11434112148366,-5.926926025970411,-5.839960912079029,-5.5543255825817655,-5.226103880361043,-4.825312984863063,-4.4215698566413595,-3.9746542210094495,-3.533473675282884,-3.035305782618499,-2.6092157885753555,-2.0253974554371497,-1.2920387556289612,-0.4588658848352796,-3.6100075128625835,-3.599250501433953,inf
38,2140,1994,-6.917692189086965,-7.3631347784720145,-7.220038267174012,-6.538566819094105,-6.197537487064894,-5.991803702614031,-5.626821433520073,-5.49039004690214,-5.169039256043778,-4.774040212521321,-4.433368528191517,-3.882366795845258,-3.4569038386183717,-3.039029079307315,-2.574387698191898,-2.0840838796225887,-1.2648704519162626,-0.4071724471352521,-3.6100075128625835,-3.599250501433953,inf
39,2140,1995,-7.110883418117823,-7.296472737716282,-7.141491875999071,-6.421622267806518,-6.083045210370341,-5.950254278461319,-5.7366744825364195,-5.495618667086389,-5.101138679780493,-4.843080207418602,-4.341306426504165,-3.916701984590937,-3.5278486201288635,-3.057674587044276,-2.5418558217716694,-2.085360664519031,-1.3607124370739223,-0.30911494353619484,-3.6100075128625835,-3.599250501433953,inf
40,3080,1999,-inf,-7.53877023634833,-7.416779280801499,-6.445755092132094,-6.358648035859943,-6.4901413291755174,-5.952878007823937,-5.569160698630214,-5.727798193053635,-5.410066522226372,-4.591480854069823,-4.300204863134782,-3.6920173828048632,-3.1136188556769437,-3.5883176578927958,-0.7748366691496751,-2.8736716158390796,-2.3919735894677348,-1.8865255680315298,-1.7211212222709433,inf
41,3080,2000,-inf,-7.894653578020245,-7.783894081647198,-6.511203272085927,-6.210294044353277,-5.81166428470284,-6.472935887190767,-5.944330856942966,-5.694025729715234,-4.970013600027347,-4.771124131248469,-4.259242077145577,-3.636683099680991,-3.2964451755309647,-3.517982948196996,-0.658858779369881,-2.8736716158390796,-2.3919735894677348,-1.8865255680315298,-1.7211212222709433,inf
42,3080,2004,-inf,-8.474640533494984,-8.292423318357443,-7.120848494442845,-6.624082253568394,-6.384600170662385,-6.638105717537198,-6.599909371149248,-5.893557665456388,-5.538619789487696,-5.160226143129006,-4.538425275179979,-4.094736997286682,-3.615168938245256,-3.0104206884607594,-2.487538893474116,-1.8467139893043087,-1.3001432917432751,-0.823249780695753,-0.7817005779013904,inf
43,3080,2005,-7.262979170653555,-7.056347683031964,-7.524795053955433,-6.745357449417905,-6.474628481019699,-6.361464381564282,-6.176444603993976,-6.044228071652721,-6.003112859248368,-5.6755676406794535,-5.228300451743898,-4.59439808900618,-4.110195488120515,-3.563103959413865,-3.11841780224373,-2.3935255913861972,-1.8412107904463646,-1.2783171845708927,-0.755232887210622,-0.6845388060233452,inf
44,3080,2006,-8.3043711891739,-8.924523226133914,-8.278428259199071,-6.989318198069901,-6.714678797465892,-6.750051726543492,-6.635027498312167,-6.666686881690905,-6.235279752370824,-5.744034191656609,-5.210766071101393,-4.721065919924933,-4.222849562872743,-3.6645096529347625,-3.1775141761286596,-2.493151785819738,-1.924880043633859,-1.34049390934966,-0.7116702171504999,-0.7664193816662711,inf
45,3080,2007,-inf,-7.693777859492281,-7.79572135583259,-7.227712012258237,-6.367360976382619,-6.890215251366022,-6.519773935213791,-6.346662336761526,-6.00178424966409,-5.785994772766751,-5.0508480708229655,-4.755655263568533,-4.321274972267807,-3.6599193532119876,-3.102462818035531,-2.538569741907158,-1.862943358422508,-1.3942807127525405,-0.8246494889576871,-0.5837746234121584,inf
46,3080,2008,-inf,-8.19344630959293,-8.557278914955523,-6.932935577512436,-7.299935563596744,-6.667375621111132,-6.4178683235319784,-6.547789210945191,-5.963616067145378,-5.700123305786575,-5.237096718262513,-4.720728526622364,-4.170495970188441,-3.7680961518388445,-3.192852760764599,-2.5897369291361634,-1.9615667862356778,-1.4606364281256587,-0.9040488039328897,-0.6255458698918284,inf
47,3080,2009,-7.274017451556775,-inf,-8.52518120213842,-7.785145246513931,-6.807964807372264,-6.607120111018894,-6.517268344963771,-6.803574622572123,-6.094425007516631,-5.7544051738746935,-5.024621803679609,-4.793423428214857,-4.293478026592998,-3.844080602414105,-3.327527215946961,-2.6160045282618207,-1.9591729429337237,-1.4825399321863777,-0.9003260341626556,-0.6836684366054016,inf
48,3080,2010,-inf,-8.203121511737283,-9.417517129768314,-7.460937718826952,-6.760964945227838,-6.860451172244359,-6.913628622084931,-6.337472220561428,-6.094035461157061,-5.705079878278062,-5.372741655372527,-4.775290746752705,-4.447648812739712,-3.8631947049383135,-3.302577076788648,-2.691652864522529,-2.0219295585543033,-1.5035592620496565,-1.0029397243698752,-0.6034696431640795,inf
49,3080,2011,-7.72731482189652,-8.907409288761663,-10.078007925737959,-7.764655242913617,-7.215649962548548,-7.084983240254428,-6.805154110716006,-6.692671267411736,-6.272422675540747,-5.714540007195678,-5.345710206902214,-4.959923165793267,-4.478902985510952,-4.025958302825331,-3.3108684497065877,-2.7057040747238172,-1.9541648705864971,-1.2793162766711392,-0.7153563481653212,-0.4317824164255378,inf
50,3080,2012,-7.796572033855537,-8.643473357326567,-7.85578151463938,-7.7976849238028665,-7.180464707631858,-6.975734303366424,-6.78892951237074,-6.758997439026323,-6.489913899805917,-5.883043798153562,-5.442714412765818,-5.022977513771561,-4.3731701918389865,-3.807258518072216,-3.4003954570000943,-2.7471889615967644,-1.9678189565837056,-1.265205012308098,-0.7291795661976362,-0.2095281492962121,
51,3080,2013,-inf,-8.435397281114055,-7.82954199136008,-7.390580767506754,-7.063284318779517,-7.3267122939386,-7.186957050667985,-6.756577028956941,-6.147750222994044,-5.912976366461699,-5.482893324712988,-4.8535135383240435,-4.385358662333006,-3.7886385487317384,-3.379085732243498,-2.7493937986943626,-2.119413501820598,-1.7776119972143438,-1.0930739132146976,-0.06822922120165412,
52,3080,2014,-8.521185212685776,-8.264170161449298,-10.027407275705237,-7.417655474671627,-7.4719470472966085,-7.449137819744821,-7.04334912661672,-6.661297171531703,-6.1258462725415095,-5.834034318479838,-5.370744537633737,-4.711156056731453,-4.438793557749906,-3.8294089298665046,-3.4738550272382307,-2.7520899596076527,-2.0279087550147668,-1.8028824877484573,-0.9020186764519884,-0.06441969278498644,
